bat;experiment;order;treatment;bat_type;period;response
20;PI;P-NP;predator;carnivorous;after;0
21;PI;P-NP;predator;carnivorous;before;30
21;PI;P-NP;predator;carnivorous;during;7
21;PI;P-NP;predator;carnivorous;after;30
22;PI;P-NP;predator;carnivorous;before;0
22;PI;P-NP;predator;carnivorous;during;0
22;PI;P-NP;predator;carnivorous;after;0
23;PI;P-NP;predator;carnivorous;before;38
23;PI;P-NP;predator;carnivorous;during;3
23;PI;P-NP;predator;carnivorous;after;53
24;PI;P-NP;predator;carnivorous;before;10
24;PI;P-NP;predator;carnivorous;during;0
24;PI;P-NP;predator;carnivorous;after;5
25;CP;NP-P;predator;carnivorous;before;7
25;CP;NP-P;predator;carnivorous;during;0
25;CP;NP-P;predator;carnivorous;after;0
26;CP;NP-P;predator;carnivorous;before;1
26;CP;NP-P;predator;carnivorous;during;0
26;CP;NP-P;predator;carnivorous;after;0
27;CP;NP-P;predator;carnivorous;before;34
27;CP;NP-P;predator;carnivorous;during;0
27;CP;NP-P;predator;carnivorous;after;10
28;CP;NP-P;predator;carnivorous;before;17
28;CP;NP-P;predator;carnivorous;during;0
28;CP;NP-P;predator;carnivorous;after;32
29;CP;NP-P;predator;carnivorous;before;109
29;CP;NP-P;predator;carnivorous;during;0
29;CP;NP-P;predator;carnivorous;after;103
30;CP;NP-P;predator;carnivorous;before;31
30;CP;NP-P;predator;carnivorous;during;0
30;CP;NP-P;predator;carnivorous;after;2
31;CP;NP-P;predator;carnivorous;before;1
31;CP;NP-P;predator;carnivorous;during;0
31;CP;NP-P;predator;carnivorous;after;3
32;CP;NP-P;predator;carnivorous;before;40
32;CP;NP-P;predator;carnivorous;during;0
32;CP;NP-P;predator;carnivorous;after;53
33;PC;P-NP;predator;carnivorous;before;52
33;PC;P-NP;predator;carnivorous;during;0
33;PC;P-NP;predator;carnivorous;after;13
34;PC;P-NP;predator;carnivorous;before;4
34;PC;P-NP;predator;carnivorous;during;0
34;PC;P-NP;predator;carnivorous;after;0
35;PC;P-NP;predator;carnivorous;before;71
35;PC;P-NP;predator;carnivorous;during;0
35;PC;P-NP;predator;carnivorous;after;44
36;PC;P-NP;predator;carnivorous;before;76
36;PC;P-NP;predator;carnivorous;during;0
36;PC;P-NP;predator;carnivorous;after;56
37;PC;P-NP;predator;carnivorous;before;86
37;PC;P-NP;predator;carnivorous;during;2
37;PC;P-NP;predator;carnivorous;after;78
38;PC;P-NP;predator;carnivorous;before;80
38;PC;P-NP;predator;carnivorous;during;2
38;PC;P-NP;predator;carnivorous;after;55
